title,genre,studio,total_gross,theaters,opening_gross,open_date
The Maze Runner,Sci-Fi Thriller,Fox,102427862,3638,32512804,9/19/14
The Equalizer,Thriller,Sony,101530738,3236,34137828,9/26/14
Noah,Drama,Par.,101200044,3571,43720472,3/28/14
Edge of Tomorrow,Sci-Fi Action,WB,100206256,3505,28760246,6/6/14
Non-Stop,Thriller,Uni.,92168600,3183,28875635,2/28/14
Heaven is for Real,Drama,TriS,91443253,3048,22522221,4/16/14
The Imitation Game,Drama,Wein.,91125683,2402,479352,11/28/14
Dumb and Dumber To,Comedy,Uni.,86208010,3188,36111775,11/14/14
Annie (2014),Musical,Sony,85911262,3197,15861939,12/19/14
Fury (2014),War,Sony,85817906,3313,23702421,10/17/14
Tammy,Comedy,WB (NL),84525432,3465,21577049,7/2/14
Annabelle,Horror,WB (NL),84273813,3215,37134255,10/3/14
The Other Woman (2014),Comedy,Fox,83911193,3306,24763752,4/25/14
Penguins of Madagascar,Animation,Fox,83350911,3775,25447444,11/26/14
Let's Be Cops,Action Comedy,Fox,82390774,3140,17813722,8/13/14
The Monuments Men,Action Drama,Sony,78031620,3083,22003433,2/7/14
Hercules (2014),Action / Adventure,Par.,72688614,3595,29800263,7/25/14
The Purge: Anarchy,Thriller,Uni.,71962800,2856,29816675,7/18/14
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Family,BV,66954149,3117,18360230,10/10/14
Think Like a Man Too,Comedy,SGem,65182182,2225,29241911,6/20/14
Exodus: Gods and Kings,Drama,Fox,65014513,3503,24115934,12/12/14
The Nut Job,Animation,ORF,64251541,3472,19423000,1/17/14
God's Not Dead,Drama,Free,60755732,1860,9217013,3/21/14
Son of God,Drama,Fox,59700064,3271,25601865,2/28/14
The Grand Budapest Hotel,Comedy,FoxS,59301324,1467,811166,3/7/14
Planes: Fire & Rescue,Animation,BV,59165787,3839,17509407,7/18/14
RoboCop (2014),Sci-Fi Action,Sony,58607007,3372,21681430,2/12/14
Dracula Untold,Action Horror,Uni.,56280355,2900,23514615,10/10/14
